row_id,col_1,col_2,col_3,col_4,col_5,col_6,pop,importance
549,2.0,0.0,3.0,4.0,0.0,14.0,27,644.0949675451124
381,19.0,20.0,3.0,1.0,19.0,15.0,26,638.7702472866329
389,18.0,2.0,16.0,4.0,19.0,20.0,26,621.8276117248021
370,18.0,4.0,18.0,1.0,9.0,1.0,27,615.1914704604028
529,18.0,2.0,9.0,1.0,12.0,18.0,28,609.9543093207238
704,18.0,12.0,0.0,1.0,15.0,14.0,27,592.8257091130491
727,2.0,5.0,2.0,0.0,12.0,20.0,25,590.4437744262785
652,18.0,17.0,19.0,15.0,7.0,0.0,26,589.9024354770202
551,0.0,3.0,2.0,1.0,7.0,8.0,26,586.3005507263791
427,2.0,13.0,18.0,4.0,4.0,19.0,26,581.2907649816186
23,12.0,6.0,18.0,1.0,9.0,12.0,30,580.6062744155176
379,12.0,20.0,20.0,17.0,4.0,12.0,26,575.3605397043765
349,5.0,16.0,2.0,1.0,19.0,7.0,26,574.7995437764727
628,9.0,3.0,2.0,1.0,16.0,20.0,25,573.8571007398676
876,2.0,9.0,16.0,1.0,16.0,15.0,27,570.2570423206372
413,18.0,4.0,3.0,14.0,3.0,19.0,25,552.0959152757331
302,2.0,5.0,4.0,20.0,4.0,0.0,23,539.7465341972342
38,15.0,19.0,16.0,1.0,0.0,15.0,23,539.7292531090201
209,6.0,2.0,2.0,17.0,4.0,11.0,26,536.9508433918023
464,2.0,11.0,15.0,20.0,0.0,20.0,22,535.8778024279633
143,4.0,5.0,3.0,18.0,19.0,0.0,23,533.4571961848019
851,15.0,16.0,18.0,17.0,2.0,20.0,23,531.8912183517245
484,17.0,20.0,20.0,4.0,15.0,19.0,22,531.6461814060546
702,14.0,0.0,0.0,18.0,2.0,9.0,23,530.9556129408257
455,2.0,12.0,2.0,17.0,10.0,7.0,27,530.7905551016803
346,3.0,12.0,16.0,1.0,4.0,11.0,26,530.5801954752069
958,16.0,4.0,2.0,1.0,2.0,7.0,24,530.190996378004
64,0.0,0.0,14.0,1.0,15.0,7.0,23,529.7076600292755
932,6.0,20.0,11.0,17.0,2.0,6.0,25,528.5124182533924
