row_id,col_1,col_2,col_3,col_4,col_5,col_6
0,15,5,6,11,8,10
1,9,20,0,17,3,4
2,8,16,2,15,4,15
3,2,19,14,2,19,13
4,15,16,19,17,17,13
5,17,14,14,5,14,17
6,3,7,14,2,14,12
7,8,1,7,19,16,12
8,0,1,14,11,13,1
9,17,6,5,13,7,1
10,16,4,13,19,20,20
11,2,4,15,17,16,10
12,16,15,1,3,20,6
13,1,5,16,6,4,4
14,19,15,18,8,4,7
15,8,4,9,1,8,10
16,3,1,5,13,0,17
17,6,0,0,0,3,3
18,17,10,0,9,8,3
19,5,15,1,17,9,16
20,12,17,12,16,4,10
21,6,9,16,14,17,18
22,1,3,2,6,17,9
23,6,7,5,0,3,13
24,16,19,17,10,20,13
25,8,14,11,9,18,18
26,5,19,5,7,0,16
27,16,14,6,18,2,10
28,19,18,8,9,1,0
29,15,17,16,5,13,14
30,13,2,18,11,1,2
31,17,0,19,20,5,4
32,0,18,0,20,20,15
33,11,7,15,0,3,9
34,10,16,6,11,20,6
35,11,14,1,13,12,3
36,13,13,15,6,18,1
37,9,17,16,4,11,5
38,8,19,0,14,20,5
39,18,17,5,12,0,12
40,6,14,11,0,14,3
41,12,4,1,0,15,5
42,15,13,2,14,2,1
43,0,8,8,6,2,17
44,10,6,8,0,13,19
45,5,6,9,6,1,3
46,20,16,0,9,18,14
47,9,18,11,15,8,14
48,16,13,17,1,3,17
49,6,12,14,0,10,9
50,4,15,10,20,5,8
51,12,7,13,0,16,4
52,1,8,3,16,16,20
53,17,15,7,10,20,20
54,17,9,12,16,17,9
55,15,19,4,12,17,16
56,8,13,16,3,17,19
57,14,10,11,8,12,14
58,14,4,18,19,13,16
59,17,20,2,1,0,9
60,18,16,11,0,11,16
61,2,10,16,2,7,19
62,3,20,6,13,13,3
63,15,0,16,9,15,15
64,7,6,5,15,19,15
65,6,8,13,10,13,6
66,0,12,19,2,19,3
67,10,1,13,11,16,11
68,11,0,12,13,1,11
69,20,15,3,7,1,9
70,8,14,12,16,15,1
71,19,19,13,2,11,7
72,1,3,13,15,18,1
73,11,13,5,12,3,17
74,11,19,20,18,7,6
75,15,18,5,19,20,10
76,4,15,6,4,10,14
77,2,4,20,4,8,14
78,2,5,16,20,7,20
79,10,5,7,9,2,13
80,13,9,11,5,11,13
81,1,8,9,16,16,2
82,18,0,11,6,3,9
83,12,1,9,20,3,17
84,4,18,1,11,16,9
85,1,5,7,18,10,11
86,8,1,7,10,20,3
87,9,20,19,15,7,3
88,9,11,13,15,17,20
89,20,11,17,6,19,6
90,8,0,5,5,11,11
